bin,time_start,time_end,density_veh_per_mile,flow_vph,speed_mph,N_mainline,density_bin,scenario
36,2160.0,2219.9,19.94905617199063,882.7906873353089,44.24698810231205,47.233333333333334,20.0,Light
37,2220.0,2279.9,20.298199850935845,950.5464511619161,46.76016001107517,48.06,20.0,Light
38,2280.0,2339.9,20.958475598618527,970.2740874089611,46.28429027049959,49.623333333333335,20.0,Light
39,2340.0,2399.9,20.098990856698958,925.1075912186986,46.0230902517487,47.58833333333333,20.0,Light
40,2400.0,2459.9,20.51571073156905,969.4297400719364,47.19396997608107,48.575,20.0,Light
41,2460.0,2519.9,20.66705325369248,974.3349644296703,47.09965540106572,48.93333333333333,20.0,Light
42,2520.0,2579.9,19.530224540997885,917.5842137901902,46.985644962647875,46.24166666666667,20.0,Light
43,2580.0,2639.9,19.654818152234384,939.3122003211092,47.739150891385215,46.53666666666667,20.0,Light
44,2640.0,2699.9,20.272858777464013,953.7635538239546,47.03800148520135,48.0,20.0,Light
45,2700.0,2759.9,19.353540945402624,908.2709522751148,46.93803768652477,45.82333333333333,20.0,Light
46,2760.0,2819.9,20.14967300364262,946.9309802048322,46.93036734088444,47.708333333333336,20.0,Light
47,2820.0,2879.9,21.121080820062772,988.0810136186875,46.76729554182626,50.00833333333333,20.0,Light
48,2880.0,2939.9,19.58372236277175,904.4171129537989,46.18160841153527,46.36833333333333,20.0,Light
49,2940.0,2999.9,20.232735411133618,946.5133404586289,46.75188376738716,47.905,20.0,Light
50,3000.0,3059.9,21.046465437062384,979.9869658192617,46.53480493604357,49.83166666666666,20.0,Light
51,3060.0,3119.9,20.06872235227427,927.8236066639489,46.234689375495876,47.516666666666666,20.0,Light
52,3120.0,3179.9,20.079281132887537,922.5545381375251,45.905221074597,47.541666666666664,20.0,Light
53,3180.0,3239.9,20.80009388941959,976.5010289952155,46.9099057932572,49.248333333333335,20.0,Light
54,3240.0,3299.9,19.722394348159263,916.2726207433855,46.46563592991841,46.696666666666665,20.0,Light
55,3300.0,3359.9,20.63185731831494,942.7956251833464,45.63307731597842,48.85,20.0,Light
56,3360.0,3419.9,20.588214358446788,948.2956620221112,46.029126999701276,48.74666666666667,20.0,Light
57,3420.0,3479.9,20.317909574747265,925.5034829645311,45.53638767805108,48.10666666666667,20.0,Light
58,3480.0,3539.9,21.043649762232178,963.9951309433098,45.77559713551414,49.825,20.0,Light
59,3540.0,3599.9,21.632125801744674,983.3735723100418,45.451390917073766,51.218333333333334,20.0,Light
60,3600.0,3659.9,21.210478495921723,928.3697583282403,43.770556745392334,50.22,20.0,Light
61,3660.0,3719.9,21.733490095631996,1002.4481460007709,46.08835655860197,51.458333333333336,20.0,Light
62,3720.0,3779.9,20.811356588740402,970.9544809889801,46.6424793181217,49.275,20.0,Light
63,3780.0,3839.9,20.141225979152008,921.2057120880784,45.745956908046196,47.68833333333333,20.0,Light
64,3840.0,3899.9,20.94439722446751,964.3835662467845,46.00724961570567,49.59,20.0,Light
65,3900.0,3959.9,21.041538006109526,968.4329622388138,46.01891890597461,49.82,20.0,Light
66,3960.0,4019.9,20.31368606250196,932.8132158349534,45.935554557666464,48.096666666666664,20.0,Light
67,4020.0,4079.9,21.56806919935755,957.7233441039359,44.43998240436241,51.06666666666667,20.0,Light
68,4080.0,4139.9,21.405463977913303,1005.7355425940859,46.97332350919122,50.681666666666665,20.0,Light
69,4140.0,4199.9,19.844876203273106,905.1785544422977,45.613052860245915,46.986666666666665,20.0,Light
70,4200.0,4259.9,20.946508980590163,945.1765509976043,45.085367217195454,49.595,20.0,Light
71,4260.0,4319.9,21.275239017016403,981.9366552353997,46.15173348494824,50.373333333333335,20.0,Light
72,4320.0,4379.9,20.442503185983767,907.8966409682745,44.4068600191082,48.401666666666664,20.0,Light
73,4380.0,4439.9,23.01180646854431,1025.430212518452,44.549727018947294,54.485,20.0,Light
74,4440.0,4499.9,20.586806521031686,954.9437063346347,46.35958615134739,48.74333333333333,20.0,Light
75,4500.0,4559.9,19.90752496824513,904.3469709465173,45.405152451722635,47.135,20.0,Light
76,4560.0,4619.9,21.21962943911989,966.0268502225091,45.491150086894216,50.24166666666667,20.0,Light
77,4620.0,4679.9,21.279462529261707,968.0768491313639,45.50681047351719,50.38333333333333,20.0,Light
78,4680.0,4739.9,20.819803613231013,948.5844576618061,45.564510482288526,49.295,20.0,Light
79,4740.0,4799.9,20.48896182068212,964.2344929749047,47.03448842612876,48.51166666666666,20.0,Light
80,4800.0,4859.9,20.812764426155503,971.2734167502987,46.657492530071096,49.278333333333336,20.0,Light
81,4860.0,4919.9,19.766741226734965,908.7756913923556,45.98078778517661,46.80166666666667,20.0,Light
82,4920.0,4979.9,20.747299986353276,956.8576041426971,46.091631486159564,49.123333333333335,20.0,Light
83,4980.0,5039.9,20.803613482957346,960.641658726151,46.1919025225845,49.25666666666667,20.0,Light
84,5040.0,5099.9,19.58653803760195,885.6065575145204,45.22926866035039,46.375,20.0,Light
85,5100.0,5159.9,20.728998099956957,947.865141357609,45.70276234840781,49.08,20.0,Light
86,5160.0,5219.9,21.12178473877032,971.2681033575418,45.94785196360857,50.01,20.0,Light
87,5220.0,5279.9,20.386189689379698,914.5511433630709,44.84861340840745,48.26833333333333,20.0,Light
88,5280.0,5339.9,21.228076463610495,980.2084687254282,46.123663862020805,50.26166666666666,20.0,Light
89,5340.0,5399.9,20.763490116626944,951.2443247629423,45.79674177525451,49.16166666666667,20.0,Light
90,5400.0,5459.9,20.113069230849977,928.5197711526005,46.179146129980964,47.62166666666667,20.0,Light
91,5460.0,5519.9,20.123628011463236,933.5770953146884,46.39104821603994,47.64666666666667,20.0,Light
92,5520.0,5579.9,20.948620736712815,982.8508008566091,46.90908775869039,49.6,20.0,Light
93,5580.0,5639.9,19.98988345702858,909.2426672815508,45.505620191195405,47.33,20.0,Light
94,5640.0,5699.9,21.04435368093973,965.6089709277596,45.872714557471156,49.82666666666667,20.0,Light
95,5700.0,5759.9,21.033794900326466,979.8704727195936,46.55408024053341,49.80166666666667,20.0,Light
96,5760.0,5819.9,20.07364978322713,910.2165959997293,45.34595721635312,47.528333333333336,20.0,Light
97,5820.0,5879.9,20.924687500656084,974.026805315055,46.50879221201575,49.54333333333334,20.0,Light
98,5880.0,5939.9,20.883156296910588,975.317888900528,46.6905927717427,49.445,20.0,Light
99,5940.0,5999.9,20.042677360094892,929.1625261600407,46.354190078455446,47.455,20.0,Light
10,600.0,659.9,36.53126916576562,1572.9936718357164,43.058746260634635,86.495,40.0,Medium
11,660.0,719.9,36.3383954398967,1588.6645779200887,43.75642073898022,86.03833333333333,40.0,Medium
12,720.0,779.9,35.46835191736386,1525.4981604368618,43.027268509020175,83.97833333333334,40.0,Medium
13,780.0,839.9,37.344999191694384,1625.643964514874,43.52559487756449,88.42166666666667,40.0,Medium
14,840.0,899.9,37.613896137978806,1637.0035087179951,43.57322497647985,89.05833333333334,40.0,Medium
15,900.0,959.9,37.85534025466874,1565.3504273262922,41.386540733904376,89.63,40.0,Medium
16,960.0,1019.9,38.67118203672016,1666.082706279147,43.0774717971597,91.56166666666667,40.0,Medium
17,1020.0,1079.9,37.513235762799034,1633.0831655606232,43.54174951704528,88.82,40.0,Medium
18,1080.0,1139.9,36.692466549794766,1587.2767099325174,43.28678095083145,86.87666666666667,40.0,Medium
19,1140.0,1199.9,38.15169003054765,1543.5367793704438,40.442463297940975,90.33166666666666,40.0,Medium
20,1200.0,1259.9,38.25094256831231,1658.7252414643974,43.36940466233373,90.56666666666666,40.0,Medium
21,1260.0,1319.9,35.63870024459116,1562.6991310884755,43.84638509213401,84.38166666666666,40.0,Medium
22,1320.0,1379.9,38.29669728430312,1640.8858547327366,42.83399148791917,90.675,40.0,Medium
23,1380.0,1439.9,36.9726261954,1599.8565271155528,43.3157137653326,87.54,40.0,Medium
24,1440.0,1499.9,37.699774220300014,1575.4492220060697,41.82322444711336,89.26166666666667,40.0,Medium
25,1500.0,1559.9,36.940949853560205,1588.7490470699624,43.007126789663516,87.465,40.0,Medium
26,1560.0,1619.9,36.74948396510638,1613.983787685964,43.94099368055229,87.01166666666667,40.0,Medium
27,1620.0,1679.9,36.03219080211208,1582.4384705876473,43.93864519314447,85.31333333333333,40.0,Medium
28,1680.0,1739.9,37.764534741394684,1618.4284769973501,42.839863555066486,89.415,40.0,Medium
29,1740.0,1799.9,37.53716899885576,1633.5105983551434,43.505785515965584,88.87666666666667,40.0,Medium
