bin,time_start,time_end,density_veh_per_mi,flow_vph,speed_mph,N_mainline
46,2760.0,2819.9,20.14967300364262,946.9309802048322,46.93036734088444,47.708333333333336
47,2820.0,2879.9,21.121080820062772,988.0810136186875,46.76729554182626,50.00833333333333
48,2880.0,2939.9,19.58372236277175,904.4171129537989,46.18160841153527,46.36833333333333
49,2940.0,2999.9,20.232735411133618,946.5133404586289,46.75188376738716,47.905
50,3000.0,3059.9,21.046465437062384,979.9869658192617,46.53480493604357,49.83166666666666
51,3060.0,3119.9,20.06872235227427,927.8236066639489,46.234689375495876,47.516666666666666
52,3120.0,3179.9,20.079281132887537,922.5545381375251,45.905221074597,47.541666666666664
53,3180.0,3239.9,20.80009388941959,976.5010289952155,46.9099057932572,49.248333333333335
54,3240.0,3299.9,19.722394348159263,916.2726207433855,46.46563592991841,46.696666666666665
55,3300.0,3359.9,20.63185731831494,942.7956251833464,45.63307731597842,48.85
56,3360.0,3419.9,20.588214358446788,948.2956620221112,46.029126999701276,48.74666666666667
57,3420.0,3479.9,20.317909574747265,925.5034829645311,45.53638767805108,48.10666666666667
58,3480.0,3539.9,21.043649762232178,963.9951309433098,45.77559713551414,49.825
59,3540.0,3599.9,21.632125801744674,983.3735723100418,45.451390917073766,51.218333333333334
60,3600.0,3659.9,21.210478495921723,928.3697583282403,43.770556745392334,50.22
61,3660.0,3719.9,21.733490095631996,1002.4481460007709,46.08835655860197,51.458333333333336
62,3720.0,3779.9,20.811356588740402,970.9544809889801,46.6424793181217,49.275
63,3780.0,3839.9,20.141225979152008,921.2057120880784,45.745956908046196,47.68833333333333
64,3840.0,3899.9,20.94439722446751,964.3835662467845,46.00724961570567,49.59
65,3900.0,3959.9,21.041538006109526,968.4329622388138,46.01891890597461,49.82
66,3960.0,4019.9,20.31368606250196,932.8132158349534,45.935554557666464,48.096666666666664
67,4020.0,4079.9,21.56806919935755,957.7233441039359,44.43998240436241,51.06666666666667
68,4080.0,4139.9,21.405463977913303,1005.7355425940859,46.97332350919122,50.681666666666665
69,4140.0,4199.9,19.844876203273106,905.1785544422977,45.613052860245915,46.986666666666665
70,4200.0,4259.9,20.946508980590163,945.1765509976043,45.085367217195454,49.595
71,4260.0,4319.9,21.275239017016403,981.9366552353997,46.15173348494824,50.373333333333335
72,4320.0,4379.9,20.442503185983767,907.8966409682745,44.4068600191082,48.401666666666664
73,4380.0,4439.9,23.01180646854431,1025.430212518452,44.549727018947294,54.485
74,4440.0,4499.9,20.586806521031686,954.9437063346347,46.35958615134739,48.74333333333333
75,4500.0,4559.9,19.90752496824513,904.3469709465173,45.405152451722635,47.135
76,4560.0,4619.9,21.21962943911989,966.0268502225091,45.491150086894216,50.24166666666667
77,4620.0,4679.9,21.279462529261707,968.0768491313639,45.50681047351719,50.38333333333333
78,4680.0,4739.9,20.819803613231013,948.5844576618061,45.564510482288526,49.295
79,4740.0,4799.9,20.48896182068212,964.2344929749047,47.03448842612876,48.51166666666666
80,4800.0,4859.9,20.812764426155503,971.2734167502987,46.657492530071096,49.278333333333336
81,4860.0,4919.9,19.766741226734965,908.7756913923556,45.98078778517661,46.80166666666667
82,4920.0,4979.9,20.747299986353276,956.8576041426971,46.091631486159564,49.123333333333335
