edge,bin,time_start,time_end,density,flow,v_ms,nVeh
103504797,53,3180.9,3230.6,0.011220240682064208,0.21380932438874709,19.072880085653104,1.36830835117773
103504797,54,3252.4,3299.9,0.012525922360672882,0.2698254808635043,21.669536231884056,1.527536231884058
103504797,55,3300.0,3359.9,0.010067716335526344,0.20778307427202386,20.63964412811388,1.2277580071174377
103504797,56,3360.0,3409.5,0.012001576326442874,0.2317589972016225,19.299563106796118,1.4635922330097086
103504797,57,3438.1,3479.9,0.010159850026173216,0.2174984076884794,21.39449685534591,1.2389937106918238
103504797,58,3480.0,3539.9,0.010273665955050354,0.21828844495341504,21.102306513409964,1.2528735632183907
103504797,59,3540.0,3588.6,0.01137761377613776,0.23908302583025828,21.084979166666667,1.3875
103504797,60,3615.1,3659.9,0.011744362967926355,0.24982713765756584,21.257041773231034,1.432225063938619
103504797,61,3660.0,3719.9,0.010838722248608625,0.24081692302071536,22.156625412541253,1.3217821782178218
103504797,62,3720.0,3768.5,0.011858263946047982,0.2429836378564287,20.680693400167083,1.4461152882205515
103504797,63,3792.8,3839.9,0.011898572593973361,0.25516055676020677,21.441129725085908,1.4510309278350515
103504797,64,3840.0,3899.9,0.010643371739839848,0.2296695701650894,21.70238775510204,1.2979591836734694
103504797,65,3900.0,3945.1,0.011937384789397492,0.2453783304589078,20.791751563896337,1.4557640750670242
103504797,66,3972.4,4019.9,0.012885843144145726,0.26635839290723734,20.867531328320805,1.5714285714285714
103504797,67,4020.0,4079.9,0.010489916219916916,0.2218796754005276,21.282993710691827,1.2792452830188679
103504797,68,4080.0,4135.7,0.012380515962022364,0.2565779530344323,20.70916666666667,1.5098039215686274
103504797,69,4152.6,4199.9,0.012678931137137459,0.26387685615986595,20.891028079710146,1.546195652173913
103504797,70,4200.0,4259.9,0.010827907506874297,0.23260783186982448,21.629916344916346,1.3204633204633205
103504797,71,4260.0,4308.0,0.011658472022386006,0.24711871521898243,21.33162687886826,1.4217506631299734
103504797,72,4333.7,4379.9,0.011762738986613168,0.23788816043500238,20.51223300970874,1.4344660194174756
103504797,73,4380.0,4439.3,0.010593238979600095,0.22182277616767584,20.946359084406296,1.2918454935622317
103504797,74,4441.5,4497.6,0.010631079762125054,0.22313130653430427,20.9559697640118,1.2964601769911503
103504797,75,4501.8,4559.9,0.01224098779449333,0.2525035875358754,20.782988782051284,1.4927884615384615
103504797,76,4560.0,4619.9,0.009671891590710777,0.19574286585356696,20.388809523809524,1.1794871794871795
103504797,77,4620.0,4669.1,0.013136655296023994,0.25593240819058066,19.56931570109152,1.602015113350126
103504797,78,4694.1,4739.9,0.012760227352896971,0.2706630308198344,21.38963009143807,1.5561097256857854
103504797,79,4740.0,4799.9,0.009951917700995192,0.22812218122181224,23.037477272727273,1.2136363636363636
103504797,80,4800.0,4847.8,0.012559619267078747,0.25527083625266633,20.58535443037975,1.5316455696202531
103504797,81,4873.3,4919.7,0.012863740497243249,0.2781476655736908,21.766239892183286,1.568733153638814
103504797,82,4920.0,4979.5,0.010825546851959748,0.24876099638189364,22.926929824561405,1.3201754385964912
103504797,83,4981.6,5039.8,0.010171255558709432,0.20685692433847416,20.394098557692306,1.2403846153846154
103504797,84,5053.8,5099.9,0.012045778026018474,0.2719659950941941,22.70017783291977,1.468982630272953
103504797,85,5100.0,5159.9,0.009322914805911544,0.2046709844691808,21.889854771784233,1.1369294605809128
103504797,86,5160.0,5208.1,0.01213216951446623,0.2429474848965357,20.148895582329317,1.4795180722891565
103504797,87,5232.9,5279.9,0.012604922212291666,0.25894108821184136,20.781211031175058,1.5371702637889688
103504797,88,5280.0,5339.9,0.010653097983971292,0.23083300918479271,21.49626780626781,1.2991452991452992
